Bioma;3;4;5;11;12;13;49;9;15;19;36;39;41;20;21;23;24;25;29;30;31;33
AMAZONIA;164.71;165.49;38.3;58.2;110.34;NA;;42.048;10;6.18;11.37;6.18;6.18;11.37;6.18;0;0;0;0;0;0;0
CERRADO;NA;41.32;38.26;36.21;24.94;NA;34.76;42.048;7.57;5;21;5;5;21;5;0;0;0;0;0;0;0
CAATINGA;68.53;20.3;170.54;NA;15.46;NA;147.09;42.048;1.19;0.56;24.8;0.56;0.56;24.8;0.56;0;0;0;0;0;0;0
MATA_ATLANTICA;121.78;47.65;83.06;103.75;13.91;83.06;104.7;42.048;2.6;3.83;23.52;3.83;3.83;23.52;3.83;0;0;0;0;0;0;0
PAMPA;76.03;NA;NA;11.74;21.84;NA;;42.048;7.57;5;21;5;5;21;5;0;0;0;0;0;0;0
PANTANAL;118.77;39.84;NA;25.21;23.24;NA;;42.048;7.57;5;21;5;5;21;5;0;0;0;0;0;0;0
