inv;seeg
FM;Floresta primária
FNM;Floresta primária
FSec;Floresta secundária
GM;Vegetação não florestal primária
GNM;Vegetação não florestal primária
GSec;Vegetação não florestal secundária
Ap;Uso agropecuário
Ac;Uso agropecuário
Ref;Silvicultura
O;Área sem vegetação
