PRODES2020;Prop;UF
25;0.0023;TOCANTINS
297;0.0274;RORAIMA
1273;0.1173;RONDONIA
4899;0.4515;PARA
1779;0.1639;MATO GROSSO
336;0.0310;MARANHAO
24;0.0022;AMAPA
1512;0.1393;AMAZONAS
706;0.0651;ACRE
;;
