Bioma;3;4;5;11;12;13;9;15;19;36;39;41;20;21;23;24;25;29;30;31;33
AMAZONIA;174.13;39.69;117.2039;23.21;23.21;13.5;51.22;7.57;5;21;5;5;21;6.29;0;0;0;0;0;0;0
CERRADO;NA;39.19;117.2;22.79;22.79;13.5;51.62;7.57;5;21;5;5;21;6.29;0;0;0;0;0;0;0
CAATINGA;83.79;16.18;117.2039;12.77;12.77;13.5;51.62;4.09;5;9;5;5;9;4.55;0;0;0;0;0;0;0
MATA_ATLANTICA;130.39;20.3;117.2039;18.14;18.14;13.5;51.62;7.57;5;21;5;5;21;6.29;0;0;0;0;0;0;0
PAMPA;80.64;NA;NA;12.57;10.81;13.5;51.62;6.35;5;21;5;5;21;5.68;0;0;0;0;0;0;0
PANTANAL;101.51;54.58;NA;16.67;16.67;13.5;51.62;7.57;5;21;5;5;21;6.29;0;0;0;0;0;0;0
